opportunity_id,customer_id,product_name,deal_value_usd,stage,sales_rep,close_date
O00001,C0269,Market Intelligence,144052,Closed Won,Alice,2026-05-26
O00002,C0460,Commodity Insights,182862,Negotiation,Emma,2026-11-02
O00003,C0100,ESG Analytics,172096,Negotiation,David,2026-10-21
O00004,C0879,Commodity Insights,92809,Negotiation,Carol,2026-02-09
O00005,C0671,ESG Analytics,107538,Closed Won,Bob,2026-12-22
O00006,C0603,Market Intelligence,141302,Negotiation,Bob,2026-06-18
O00007,C0011,ESG Analytics,7221,Prospecting,Alice,2026-07-04
O00008,C0538,Market Intelligence,184699,Closed Won,Carol,2026-04-24
O00009,C0291,Commodity Insights,55614,Prospecting,Alice,2026-10-03
O00010,C0059,ESG Analytics,177125,Proposal,Emma,2026-11-04
O00011,C0726,Market Intelligence,27645,Closed Lost,Bob,2026-07-22
O00012,C0783,ESG Analytics,153391,Proposal,Alice,2026-12-06
O00013,C0260,Commodity Insights,127409,Prospecting,David,2026-05-25
O00014,C0438,ESG Analytics,241818,Negotiation,Carol,2026-03-25
O00015,C0076,Commodity Insights,208713,Prospecting,David,2026-07-11
O00016,C0062,Commodity Insights,218070,Negotiation,Bob,2026-08-03
O00017,C0504,Market Intelligence,164986,Closed Won,Bob,2026-11-16
O00018,C0112,Market Intelligence,146723,Closed Won,Bob,2026-10-21
O00019,C0109,Commodity Insights,192537,Negotiation,Alice,2026-01-03
O00020,C0073,ESG Analytics,195721,Negotiation,David,2026-01-16
O00021,C0153,ESG Analytics,172860,Prospecting,Alice,2026-11-13
O00022,C0273,Market Intelligence,188515,Negotiation,David,2026-10-01
O00023,C0528,ESG Analytics,207110,Closed Won,David,2026-07-13
O00024,C0865,ESG Analytics,209717,Prospecting,Emma,2026-04-01
O00025,C0394,ESG Analytics,219427,Closed Won,Alice,2026-10-18
O00026,C0958,Commodity Insights,92409,Negotiation,David,2026-01-21
O00027,C0982,ESG Analytics,28767,Negotiation,Emma,2026-06-03
