customer_id,renewal_status,renewal_date,contract_value_usd
C0001,Renewed,2026-07-06,322107
C0002,Pending,2026-11-03,306934
C0003,Renewed,2026-08-11,336177
C0004,Renewed,2026-10-05,104797
C0005,Pending,2026-08-03,378569
C0006,Renewed,2026-02-16,205232
C0007,Renewed,2026-12-13,77165
C0008,Pending,2026-05-16,176986
C0009,Renewed,2026-11-28,276703
C0010,Churned,2026-07-09,210852
C0011,Renewed,2026-03-23,23319
C0012,Churned,2026-07-04,245179
C0013,Renewed,2026-01-01,309411
C0014,Churned,2026-03-22,398930
C0015,Churned,2026-05-11,468521
C0016,Renewed,2026-05-02,110166
C0017,Renewed,2026-12-04,42922
C0018,Pending,2026-12-08,460919
C0019,Pending,2026-06-01,176616
C0020,Renewed,2026-05-07,387380
C0021,Renewed,2026-02-19,345464
C0022,Renewed,2026-05-08,359275
C0023,Renewed,2026-09-28,241534
C0024,Pending,2026-10-15,344344
C0025,Renewed,2026-05-15,327437
C0026,Renewed,2026-06-23,398627
C0027,Pending,2026-03-05,58981
C0028,Churned,2026-09-08,381298
C0029,Pending,2026-11-26,364107
C0030,Pending,2026-12-18,424825
C0031,Renewed,2026-10-06,395851
C0032,Renewed,2026-05-25,294547
C0033,Pending,2026-08-02,236189
C0034,Pending,2026-11-13,444904
C0035,Churned,2026-04-07,471702
C0036,Renewed,2026-03-19,319103
C0037,Churned,2026-07-12,59951
C0038,Pending,2026-10-02,96994
C0039,Pending,2026-08-23,294636
C0040,Churned,2026-05-14,154146
C0041,Renewed,2026-09-11,343730
C0042,Churned,2026-06-24,286452
C0043,Churned,2026-04-27,397353
C0044,Churned,2026-03-25,178107
C0045,Churned,2026-07-23,426145
C0046,Pending,2026-03-13,423420
C0047,Renewed,2026-01-24,276293
C0048,Pending,2026-07-16,75708
C0049,Churned,2026-10-25,98228
C0050,Pending,2026-05-07,462074
C0051,Churned,2026-06-24,205681
C0052,Renewed,2026-10-13,98485
C0053,Churned,2026-03-06,106241
C0054,Pending,2026-01-25,65726
C0055,Churned,2026-03-12,392382
C0056,Churned,2026-11-13,98081
C0057,Pending,2026-08-06,299653
C0058,Pending,2026-04-19,408710
C0059,Pending,2026-03-21,16664
